SITE,Plant_ID_New,Leaf_ID_New,Plant_ID,Leaf.number,tree_site,tree_leaf_site,Obs,Elevation (m),Species,SAMPLING DATE,HHMMSS (time),Photo,Cond,Ci,WUEi,Trans,Trmmol,VpdL,Tair ©,Tleaf (C),CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo
Big Ivy (BI),A,1,1,1,1_BI,1_1_BI,1,1021.1,BEAL,8/17/22,8:32:27,0.899576,0.03793465,348.78592,0.11348253,0.0007927,0.79269927,1.85490808,21.2202816,22.8880444,399.899048,399.412201,10.1620188,10.476016,36.2626305,37.3831139,499.618958,1499.29724,2.11994028
Big Ivy (BI),A,2,1,2,1_BI,1_2_BI,2,1021.1,BEAL,8/17/22,8:35:12,3.3711926,0.07270918,311.833471,0.22253271,0.00151492,1.51491636,1.85569523,21.5640793,23.0873528,400.024872,398.433563,10.2437582,10.8436794,35.7928734,37.8890686,499.561951,1499.16797,3.07761955
Big Ivy (BI),A,3,1,3,1_BI,1_3_BI,3,1021.1,BEAL,8/17/22,8:37:41,1.25960424,0.04138562,338.425467,0.14794332,0.00085141,0.85140649,1.82691127,21.6000481,22.8036823,400.140015,399.499603,10.2903013,10.6275158,35.8774147,37.0531235,499.59787,1498.70032,2.51899815
Big Ivy (BI),B,4,2,1,2_BI,2_1_BI,4,1021.1,BEAL,8/17/22,8:59:12,1.95522402,0.06759869,341.823487,0.16343108,0.00119636,1.19636035,1.57640462,20.4054451,21.7379589,399.917419,398.943634,10.9943228,11.4677601,41.2380524,43.0138435,499.597626,1502.4801,3.95426202
Big Ivy (BI),B,5,2,2,2_BI,2_2_BI,5,1021.1,BEAL,8/17/22,9:02:23,3.53856849,0.07886645,315.657887,0.24940397,0.00141881,1.41881015,1.6039183,20.5782719,21.9950199,399.961426,398.318573,11.0586729,11.6200705,41.0412598,43.124733,499.583038,1502.77246,8.62159634
Big Ivy (BI),B,6,2,3,2_BI,2_3_BI,6,1021.1,BEAL,8/17/22,9:04:34,2.01282075,0.11774632,360.846161,0.10097223,0.00199344,1.99343824,1.51597637,20.6910381,21.6045151,400.019928,398.895874,11.113287,11.9017725,40.9580421,43.8640099,499.619263,1497.81702,1.65697706
Big Ivy (BI),C,7,3,1,3_BI,3_1_BI,7,1021.1,BEAL,8/17/22,9:19:52,1.13184868,0.03710874,339.870761,0.17041038,0.00066419,0.66418615,1.59178443,20.495451,21.9144878,400.020813,399.461548,11.3260565,11.5888395,42.3276558,43.3097267,499.643341,1497.47083,4.82330179
Big Ivy (BI),C,8,3,2,3_BI,3_2_BI,8,1002.8,BEAL,8/17/22,9:22:15,0.62837772,0.06288468,372.203705,0.05495214,0.0011435,1.14350035,1.62112682,20.6351643,22.2174435,400.011108,399.576813,11.3555832,11.8077679,42.0764236,43.7519264,499.794983,1502.71704,3.22221208
Big Ivy (BI),C,9,3,3,3_BI,3_3_BI,9,1002.8,BEAL,8/17/22,9:24:33,0.86927496,0.17916659,381.32037,0.03096999,0.00280683,2.80682787,1.41464955,20.7169514,21.3260155,399.950867,399.15448,11.4054203,12.5148439,42.0492172,46.1394119,499.665009,1503.04712,3.14072132
Big Ivy (BI),D,10,4,1,4_BI,4_1_BI,10,1017.4,BEAL,8/17/22,9:39:35,1.25119893,0.06266447,356.293672,0.10999648,0.00113749,1.137493,1.61663521,20.5479984,22.2755394,400.145844,399.463074,11.5229378,11.9728403,42.8905029,44.5651245,499.607758,1502.50073,9.67321968
Big Ivy (BI),D,11,4,2,4_BI,4_2_BI,11,1017.4,BEAL,8/17/22,9:41:30,0.03880879,0.02650546,385.60984,0.00770413,0.00050374,0.50373869,1.68575446,20.6855831,22.5725155,400.027039,399.930847,11.5527859,11.7520866,42.6378899,43.373455,499.565277,1501.80273,4.50982428
Big Ivy (BI),D,12,4,3,4_BI,4_3_BI,12,1017.4,BEAL,8/17/22,9:44:15,0.89561006,0.03978567,352.015788,0.11928743,0.0007508,0.75079944,1.67619172,20.8338184,22.5885715,400.03186,399.553223,11.5900526,11.8870506,42.3887329,43.4749565,499.582214,1502.1687,5.76905966
Big Ivy (BI),E,13,5,1,5_BI,5_1_BI,13,1027.2,BEAL,8/17/22,9:54:56,1.47292254,0.07165845,354.498733,0.10803542,0.00136337,1.36336617,1.69536404,21.1936359,22.9191189,399.95813,399.150421,11.7481127,12.2873354,42.0401993,43.9697876,499.464874,1501.00293,6.97010326
Big Ivy (BI),E,14,5,2,5_BI,5_2_BI,14,1027.2,BEAL,8/17/22,9:57:21,1.52487698,0.05074369,339.643646,0.15792015,0.0009656,0.96560257,1.69197865,21.3339825,22.859827,400.015564,399.250397,11.8317099,12.2137375,41.9756241,43.3309479,499.340302,1499.96631,6.97936916
Big Ivy (BI),E,15,5,3,5_BI,5_3_BI,15,1027.2,BEAL,8/17/22,9:59:10,2.57408816,0.08188094,336.861688,0.16534482,0.0015568,1.55680074,1.69561804,21.5150528,23.0394344,400.094391,398.814819,11.8961592,12.5118513,41.7382927,43.8984833,499.380188,1499.20251,3.95520592
Big Ivy (BI),F,16,6,1,6_BI,6_1_BI,16,1037.8,BELE,8/17/22,10:10:24,4.08264454,0.08437885,309.375038,0.25910037,0.0015757,1.57569997,1.66281699,21.6135159,23.041132,399.92926,398.043152,12.2756319,12.8984995,42.7428856,44.9116669,499.424225,1498.22339,1.17952216
Big Ivy (BI),F,17,6,2,6_BI,6_2_BI,17,1037.8,BELE,8/17/22,10:12:28,2.64147047,0.07177054,328.133212,0.19050944,0.00138653,1.38652711,1.71741276,21.7495956,23.34622,399.996857,398.717651,12.3284168,12.8765221,42.5707588,44.4634018,499.419952,1498.6261,0.79698569
Big Ivy (BI),F,18,6,3,6_BI,6_3_BI,18,1037.8,BELE,8/17/22,10:15:00,2.58010129,0.07722131,333.076135,0.16732825,0.00154194,1.54193847,1.77528854,21.8857689,23.7368946,399.967468,398.688049,12.3863468,12.9958105,42.415535,44.5025711,499.422607,1499.38647,9.47335339
Big Ivy (BI),G,19,7,1,7_BI,7_1_BI,19,990.6,BEAL,8/17/22,10:44:32,1.08977726,0.07568774,364.346283,0.07654059,0.00142379,1.42378518,1.67873488,21.396574,23.0874786,399.776825,399.113831,12.2087889,12.7708454,43.2107239,45.200016,500.164001,1501.64685,6.82883596
Big Ivy (BI),G,20,7,2,7_BI,7_2_BI,20,990.6,BEAL,8/17/22,10:47:09,1.11369937,0.03008175,328.075813,0.18198297,0.00061198,0.61198101,1.80585621,21.694397,23.6744881,399.890686,399.347687,12.254303,12.4959307,42.5879784,43.4277153,500.218933,1500.20996,2.12409592
Big Ivy (BI),G,21,7,3,7_BI,7_3_BI,21,990.6,BEAL,8/17/22,10:50:11,2.10312271,0.05936266,330.537993,0.18314779,0.00114832,1.14831522,1.72273914,21.9455376,23.3436966,399.907257,398.883301,12.3208122,12.774045,42.1655388,43.7166328,500.249176,1499.77771,2.8891716
Big Ivy (BI),H,22,8,1,8_BI,8_1_BI,22,986.9,BEAL,8/17/22,10:59:54,2.34645013,0.06638733,330.652504,0.18123924,0.00129467,1.29466749,1.737311,22.0112553,23.5027065,400.147736,399.003601,12.4116697,12.9223642,42.2977028,44.0380974,500.470367,1498.75024,3.76772118
Big Ivy (BI),H,23,8,2,8_BI,8_2_BI,23,986.9,BEAL,8/17/22,11:01:37,2.33621722,0.0558704,320.418444,0.21402946,0.00109154,1.09154257,1.73848998,22.1692963,23.4948368,400.075714,398.968536,12.464057,12.8944588,42.0678902,43.5205574,500.679932,1497.64575,2.46842551
Big Ivy (BI),H,24,8,3,8_BI,8_3_BI,24,986.9,BEAL,8/17/22,11:03:20,1.53844473,0.06070809,346.393769,0.12591213,0.00122184,1.22183574,1.79108045,22.3784561,23.8452682,400.049377,399.240051,12.5167475,12.9984303,41.7100525,43.3151817,500.725311,1497.79797,10.0229197
Big Ivy (BI),I,25,9,1,9_BI,9_1_BI,25,981.2,BEAL,8/17/22,11:17:01,0.35148237,0.05138833,376.300452,0.03484543,0.00100869,1.00868608,1.74745159,22.3360958,23.4855804,399.838135,399.536499,12.3685064,12.7666187,41.3589325,42.6901741,500.265167,1501.48242,5.39353752
Big Ivy (BI),I,26,9,2,9_BI,9_2_BI,26,981.2,BEAL,8/17/22,11:19:04,1.06028259,0.06488494,360.849914,0.0822843,0.00128856,1.28855708,1.76999043,22.1934662,23.701313,399.930267,399.300781,12.4287863,12.9371891,41.9230156,43.6378899,500.346069,1498.45117,3.14586473
Big Ivy (BI),I,27,9,3,9_BI,9_3_BI,27,981.2,BEAL,8/17/22,11:20:42,1.17541783,0.07665015,362.545414,0.07781338,0.00151056,1.51055752,1.75849333,22.1147976,23.70751,400.062134,399.351227,12.480607,13.0764618,42.2993736,44.3188438,500.391998,1497.80469,7.28259802
Big Ivy (BI),J,28,10,1,10_BI,10_1_BI,29,981.2,BEAL,8/17/22,11:25:02,3.04239667,0.06699735,314.026369,0.23023692,0.00132142,1.32141841,1.75830545,22.1550999,23.708065,399.870239,398.443481,12.5569715,13.0783319,42.4580078,44.2208443,500.282135,1502.06592,71.5747604
Big Ivy (BI),J,29,10,2,10_BI,10_2_BI,30,981.2,BEAL,8/17/22,11:26:47,2.61372017,0.05285827,307.839274,0.24817412,0.00105318,1.05318058,1.77350575,22.2508373,23.7760143,399.870117,398.657257,12.6277905,13.0433722,42.4502029,43.8472443,500.235474,1502.82507,4.63244486
Big Ivy (BI),J,30,10,3,10_BI,10_3_BI,31,981.2,BEAL,8/17/22,11:28:19,1.54361436,0.10783585,364.600896,0.07829684,0.00197149,1.97148928,1.63747459,22.2700958,23.2185059,399.942657,399.0112,12.6890993,13.4665356,42.606987,45.2174339,500.347168,1498.53625,4.42444038
Green Top (GT),K,31,1,1,1_GT,1_1_GT,2,834.5,BELE,8/8/22,9:36:20,4.54662096,0.13994942,330.912963,0.135718,0.00335005,3.3500487,2.19731954,25.8988647,26.7878647,400.049835,397.696533,13.08041,14.4021034,36.2165527,39.8760071,499.631897,1498.08704,8.90706539
Green Top (GT),K,32,1,2,1_GT,1_2_GT,3,834.5,BELE,8/8/22,9:38:27,5.21932596,0.11899985,311.780146,0.16974963,0.00307472,3.07472048,2.36416914,26.2588253,27.6255379,400.126434,397.548706,13.3085251,14.5210514,36.0741615,39.3608437,499.794891,1500.6731,75.9724731
Green Top (GT),K,33,1,3,1_GT,1_3_GT,4,834.5,BELE,8/8/22,9:40:10,4.5349701,0.13006861,326.198875,0.13648326,0.00332273,3.3227345,2.33990812,26.4632378,27.6258736,399.965546,397.623199,13.4735394,14.782918,36.0838966,39.59058,500.025696,1502.75574,17.1376438
Green Top (GT),L,34,2,1,2_GT,2_1_GT,5,855.3,BELE,8/8/22,9:46:43,3.52290629,0.09094841,320.439918,0.14655572,0.0024038,2.4038042,2.4047255,26.579113,28.0732441,400.050568,398.259613,14.223012,15.1693439,37.7649536,40.2776566,500.319153,1501.7782,6.78482485
Green Top (GT),L,35,2,2,2_GT,2_2_GT,6,855.3,BELE,8/8/22,9:49:42,2.02544447,0.0613019,329.504612,0.11990342,0.00168923,1.68923468,2.49799529,26.8242893,28.504776,399.893402,398.814453,14.5422449,15.2072287,38.0619698,39.8024597,500.326843,1500.86621,9.92842388
Green Top (GT),L,36,2,3,2_GT,2_3_GT,7,855.3,BELE,8/8/22,9:51:56,2.33057747,0.07104015,330.141885,0.12142725,0.00191932,1.91931924,2.45170455,26.9966106,28.4210358,400.071777,398.835175,14.7466278,15.5013409,38.2094688,40.1649818,500.737915,1501.99475,9.96124744
Green Top (GT),M,37,3,1,3_GT,3_1_GT,9,816.3,BELE,8/8/22,10:02:42,4.14579085,0.11180441,323.075058,0.14577067,0.00284405,2.84405299,2.31262707,27.2575779,28.2889023,399.946808,397.837555,15.5959215,16.7136536,39.7165833,42.5630035,500.391571,1502.06604,7.08205414
Green Top (GT),M,38,3,2,3_GT,3_2_GT,10,816.3,BELE,8/8/22,10:04:45,0.8067742,0.06763975,363.369452,0.04320747,0.00186721,1.867206,2.49596166,27.511282,28.9929295,400.146149,399.52536,15.7370234,16.4712257,39.4849243,41.3270683,500.257385,1498.30359,11.7106714
Green Top (GT),M,39,3,3,3_GT,3_3_GT,11,816.3,BELE,8/8/22,10:07:47,1.49023621,0.05816477,341.618032,0.09290112,0.00160411,1.60410813,2.49090226,27.6266575,28.9948311,400.116699,399.265015,15.900466,16.5310612,39.6258087,41.1973267,500.34967,1500.06799,16.1825886
Green Top (GT),N,40,4,1,4_GT,4_1_GT,12,865,BEAL,8/8/22,10:31:10,0.86287539,0.03654724,343.727574,0.07929747,0.00108815,1.08814964,2.65154596,27.6970768,29.8876362,399.908722,399.390594,16.8353081,17.2623444,41.368576,42.4179153,500.831268,1502.48438,9.52065659
Green Top (GT),N,41,4,2,4_GT,4_2_GT,13,865,BEAL,8/8/22,10:34:33,0.64254159,0.06013555,364.266153,0.03626716,0.00177169,1.77168853,2.62943493,27.7688942,29.9719925,400.09845,399.559326,17.0335102,17.7282677,41.6803055,43.3803482,500.974701,1498.18811,5.62716913
Green Top (GT),N,42,4,3,4_GT,4_3_GT,14,865,BEAL,8/8/22,10:36:44,1.59031113,0.04649807,327.441569,0.11967574,0.00132885,1.3288544,2.54828282,27.7719021,29.6092625,399.92691,399.080383,17.1341095,17.6552048,41.9192314,43.1941109,501.019012,1502.18372,6.38201666
Green Top (GT),O,43,5,1,5_GT,5_1_GT,15,932.7,BEAL,8/8/22,10:55:38,3.03188248,0.07189249,315.038096,0.15462635,0.00196078,1.96078174,2.42126093,27.8706341,29.277935,400.161011,398.636017,17.5400085,18.3097515,42.3656807,44.2248993,500.135864,1502.27954,27.1481552
Green Top (GT),O,44,5,2,5_GT,5_2_GT,16,932.7,BEAL,8/8/22,10:57:20,3.56733879,0.09321784,320.321027,0.13784153,0.002588,2.58800063,2.46885146,27.8907051,29.6050873,400.010864,398.172363,17.6262989,18.6418571,42.525425,44.9755707,500.169342,1497.67407,36.8606071
Green Top (GT),O,45,5,3,5_GT,5_3_GT,17,932.7,BEAL,8/8/22,10:58:58,5.22939199,0.09425025,292.71237,0.20607061,0.00253767,2.5376652,2.3954197,27.8917751,29.317831,399.742279,397.248901,17.7016354,18.6970787,42.7041397,45.105587,500.323456,1501.25281,34.7629547
Green Top (GT),P,46,6,1,6_GT,6_1_GT,18,948.5,BELE,8/8/22,11:10:26,1.01667628,0.03933812,341.493927,0.09390367,0.00108268,1.08268015,2.428748,27.4743462,29.2654591,399.945221,399.366516,17.8160973,18.2405949,43.9308815,44.9776039,500.795013,1499.84546,2.12732506
Green Top (GT),P,47,6,2,6_GT,6_2_GT,19,948.5,BELE,8/8/22,11:12:33,2.32982586,0.05220564,311.615369,0.16348508,0.0014251,1.42509718,2.41218586,27.3827171,29.2383976,400.113037,398.955811,17.7943268,18.3528786,44.1130676,45.4977493,500.917755,1500.34668,1.67772686
Green Top (GT),P,48,6,3,6_GT,6_3_GT,20,948.5,BELE,8/8/22,11:14:31,1.67843625,0.04345078,321.434847,0.14248185,0.001178,1.17799791,2.394083,27.2181416,29.1119728,400.037659,399.17981,17.7629642,18.2247047,44.4634323,45.6192436,500.94339,1501.56763,3.23073006
Shope Creek (SC),Q,49,1,1,1_SC,1_1_SC,1,851.3,BELE,8/3/22,9:28:18,4.25694154,0.11621812,326.007671,0.16859308,0.00252498,2.52497948,1.98321475,23.7718582,25.0772591,400.061951,397.959747,12.1181011,13.1136599,37.8850784,40.9975166,500.596832,1497.60034,0.98576152
Shope Creek (SC),Q,50,1,2,1_SC,1_2_SC,2,851.3,BELE,8/3/22,9:30:11,3.38663432,0.09950504,330.676524,0.15773504,0.00214704,2.14704174,1.96635518,24.005928,24.999218,400.025635,398.331024,12.2885723,13.1350412,37.883091,40.4925766,500.630371,1497.89221,0.79294276
Shope Creek (SC),Q,51,1,3,1_SC,1_3_SC,3,851.3,BELE,8/3/22,9:32:23,2.34721109,0.05812083,320.344477,0.17193166,0.0013652,1.36519761,2.12962808,24.2449722,25.7776566,400.049408,398.894409,12.4588232,12.9970064,37.8629303,39.4984932,500.741791,1501.51318,0.72901309
Shope Creek (SC),R,52,2,1,2_SC,2_1_SC,4,862,BELE,8/3/22,9:43:59,0.9460498,0.04462321,350.680608,0.0866862,0.00109135,1.09135256,2.2084595,24.724432,26.3927307,400.030884,399.479218,13.0711594,13.5009165,38.5375977,39.8046455,501.035706,1501.34949,0.11549148
Shope Creek (SC),R,53,2,2,2_SC,2_2_SC,5,862,BELE,8/3/22,9:46:41,1.14970964,0.0455401,343.805228,0.10092609,0.00113916,1.1391596,2.25800318,24.948925,26.7204571,399.943207,399.301666,13.2443314,13.693552,38.5294113,39.8362503,500.226532,1499.39661,0.36296034
Shope Creek (SC),R,54,2,3,2_SC,2_3_SC,6,862,BELE,8/3/22,9:48:50,1.23124388,0.06037075,351.837289,0.08420143,0.00146226,1.46226269,2.19017158,25.1613255,26.5036602,400.011627,399.28598,13.3680983,13.9445333,38.4006462,40.0564919,500.272156,1499.82202,1.30120134
Shope Creek (SC),S,55,3,1,3_SC,3_1_SC,7,904,BELE,8/3/22,10:08:36,1.11768384,0.0356359,334.65967,0.1291687,0.00086529,0.86529155,2.17880614,25.0776043,26.6724625,399.895721,399.311218,14.168437,14.509078,40.7210922,41.7001152,500.666046,1501.38354,5.36386728
Shope Creek (SC),S,56,3,2,3_SC,3_2_SC,8,904,BELE,8/3/22,10:14:49,1.01126055,0.03360995,335.861205,0.11621547,0.00087016,0.87016306,2.32021285,25.8557892,27.4709549,399.971313,399.427856,14.4604177,14.8032837,39.684433,40.6253777,500.068207,1499.39258,7.99042702
Shope Creek (SC),S,57,3,3,3_SC,3_3_SC,9,904,BELE,8/3/22,10:16:53,1.65649051,0.05657204,337.279218,0.11752077,0.00140953,1.40953445,2.23877479,26.0394402,27.2257195,400.01532,399.128296,14.5632362,15.1181469,39.5358696,41.0423279,500.341766,1498.82178,8.61958599
Shope Creek (SC),T,58,4,1,4_SC,4_1_SC,10,914.4,BELE,8/3/22,10:24:53,3.63397956,0.11416671,332.414687,0.13389509,0.00271405,2.71405053,2.14623326,26.3459454,27.1673203,399.799988,397.915039,14.938899,16.0067863,39.7884903,42.6327171,500.166504,1498.81287,24.1657963
Shope Creek (SC),T,59,4,2,4_SC,4_2_SC,11,914.4,BELE,8/3/22,10:27:30,2.94155731,0.0969158,334.632316,0.12174413,0.00241618,2.41617982,2.24540453,26.5176983,27.6301384,399.939728,398.378998,15.0576916,16.0081348,39.7007484,42.2066612,500.293152,1498.3219,5.14868879
Shope Creek (SC),T,60,4,3,4_SC,4_3_SC,12,914.4,BELE,8/3/22,10:29:11,0.38194576,0.04585232,369.612405,0.03111904,0.00122737,1.22737057,2.39677304,26.5693245,28.1489506,399.885681,399.537018,15.1189795,15.6018982,39.7420387,41.0114479,500.382843,1497.91919,5.17236996
Shope Creek (SC),U,61,5,1,5_SC,5_1_SC,13,925.1,BELE,8/3/22,10:37:07,4.65657419,0.10719881,313.034332,0.17288448,0.00269346,2.69346365,2.26140151,26.7121964,27.8626499,399.941956,397.649323,15.3477945,16.4082336,39.9536858,42.714241,499.655029,1500.6792,6.17261505
Shope Creek (SC),U,62,5,2,5_SC,5_2_SC,14,925.1,BELE,8/3/22,10:41:02,4.30063125,0.18973965,345.128485,0.09003578,0.00477658,4.77658355,2.28321707,27.0877934,28.3507309,399.720428,397.240692,15.4769344,17.3547897,39.4110641,44.1929054,499.898682,1499.73523,11.4449158
Shope Creek (SC),U,63,5,3,5_SC,5_3_SC,15,925.1,BELE,8/3/22,10:43:15,4.22009016,0.09518557,311.230581,0.16785956,0.00251406,2.51405639,2.37240849,27.1980839,28.4134636,399.993439,397.904877,15.5463982,16.535574,39.3328362,41.8354797,499.908112,1500.75122,9.63723278
Shope Creek (SC),V,64,6,1,6_SC,6_1_SC,16,952.5,BELE,8/3/22,10:53:08,1.46215636,0.05505438,340.287563,0.09851611,0.00148418,1.4841752,2.40393496,26.939764,28.4703312,399.844727,399.022003,15.7951002,16.3797379,40.4541321,41.9514961,499.408417,1500.87842,6.08190489
Shope Creek (SC),V,65,6,2,6_SC,6_2_SC,17,952.5,BELE,8/3/22,10:55:25,2.71905071,0.07608091,325.427887,0.13436302,0.00202366,2.0236596,2.3768749,27.1365414,28.4736633,399.933472,398.5242,15.8884783,16.6839066,40.2266426,42.2405167,500.333496,1498.99365,4.4153204
Shope Creek (SC),V,66,6,3,6_SC,6_3_SC,18,952.5,BELE,8/3/22,10:57:51,3.50158941,0.18981776,352.290694,0.0734172,0.00476944,4.7694418,2.27119239,27.3762302,28.4762955,399.817749,397.661102,15.9759998,17.8474388,39.8837318,44.5557404,500.611511,1502.6449,2.8274684
Shope Creek (SC),W,67,7,1,7_SC,7_1_SC,19,981.5,BELE,8/3/22,11:09:55,2.43030405,0.08091408,333.804285,0.10815484,0.00224706,2.24706169,2.4720916,27.2740383,29.0793896,399.942413,398.612976,16.3402176,17.2229195,40.9059906,43.1157417,500.363892,1500.00964,23.6602974
Shope Creek (SC),W,68,7,2,7_SC,7_2_SC,20,981.5,BELE,8/3/22,11:11:47,3.44567099,0.11178023,333.226229,0.12260778,0.00281032,2.81031869,2.24757502,27.4080524,28.2226582,399.737,397.912048,16.4326725,17.5367107,40.8166809,43.5589714,500.170166,1498.6814,13.5134478
Shope Creek (SC),W,69,7,3,7_SC,7_3_SC,21,981.5,BELE,8/3/22,11:13:40,3.87211311,0.10418854,322.695756,0.14114954,0.00274327,2.74327257,2.35042322,27.5129776,28.7005825,400.039459,398.057648,16.5198421,17.5957661,40.7823067,43.4384232,500.965271,1502.59473,7.34522295
Shope Creek (SC),X,70,8,1,8_SC,8_1_SC,22,1005.8,BEAL,8/3/22,11:27:25,2.25277839,0.06024218,323.656025,0.14296003,0.00157581,1.57580527,2.31396824,26.9609737,28.3394718,400.180756,399.027893,16.560627,17.1802464,42.0189629,43.591114,499.898041,1500.62708,4.18565083
Shope Creek (SC),X,71,8,2,8_SC,8_2_SC,23,1005.8,BEAL,8/3/22,11:29:40,2.13548028,0.0569723,322.968564,0.13843293,0.00154261,1.54260792,2.39372915,27.0945721,28.6297684,400.077393,398.976227,16.4191265,17.0260983,41.3351173,42.8631668,499.642151,1499.61121,5.29187298
Shope Creek (SC),X,72,8,3,8_SC,8_3_SC,24,1005.8,BEAL,8/3/22,11:31:03,3.22147085,0.06730594,305.78194,0.17754824,0.00181442,1.81442434,2.38558872,27.160017,28.6477165,399.689758,398.112549,16.4485188,17.1616898,41.2492409,43.0377159,500.100464,1500.26453,3.3069489
